Category,Deadline,Goal,Pledged,Status,Backers
Gadgets,2016-03-25 19:30:27,87000,2030,canceled,15
Web,2016-08-23 13:18:36,100000,141,failed,3
Technology,2012-10-28 08:33:59,250000,90771,failed,120
Web,2016-03-20 19:26:00,15000,25,failed,1
Hardware,2011-06-28 09:09:15,6000,20,failed,2
Flight,2014-10-18 19:40:43,8500,1355,failed,4
Hardware,2014-07-08 05:59:00,250000,268192,successful,561
Fabrication Tools,2012-07-11 13:55:42,5000,5000,successful,57
Hardware,2016-06-24 16:19:03,3500,107,failed,7
Sound,2016-10-21 10:00:03,25000,227673,successful,2278
Apps,2015-06-28 16:49:07,8500,0,failed,0
Web,2015-03-28 18:35:55,9000,0,failed,0
Gadgets,2016-07-18 22:56:06,50000,5650,canceled,22
Apps,2016-01-22 15:36:49,500,0,failed,0
Apps,2014-08-20 21:25:58,1000,0,failed,0
Technology,2016-04-22 23:50:06,10000,17771,successful,27
Hardware,2014-07-26 07:50:37,15000,3877,failed,34
Web,2015-04-23 22:01:22,18000,410,failed,4
Software,2014-11-11 08:44:00,98000,1,failed,1
DIY Electronics,2015-06-10 15:52:34,10000,23447,successful,298
Apps,2014-10-17 15:36:36,45000,895,failed,71
Technology,2013-05-01 05:25:13,25000,41136.55,successful,236
Apps,2015-11-28 00:32:08,10000,0,failed,0
Hardware,2012-03-24 05:00:00,25000,31275.6,successful,426
Camera Equipment,2016-11-17 22:40:38,8500,16998,successful,135
Camera Equipment,2014-11-20 15:54:41,20000,5043,failed,10
Apps,2014-08-31 20:55:49,150000,50,failed,1
Gadgets,2016-06-03 19:27:57,30000,396299,successful,2412
Apps,2016-04-08 03:38:57,4860,0,failed,0
Technology,2013-10-20 15:26:16,20000,21613.47,successful,292
Apps,2015-02-26 17:46:11,4000,7,failed,3
Camera Equipment,2016-11-15 20:50:00,9000,30126,successful,164
DIY Electronics,2014-08-14 18:13:57,100000,162,canceled,3
Gadgets,2015-05-10 20:19:15,65000,175,canceled,3
Fabrication Tools,2016-06-30 20:00:00,60000,446,canceled,21
Hardware,2013-03-07 01:27:47,2500,38946.01,successful,463
Hardware,2015-07-27 22:37:30,80000,0,canceled,0
Web,2015-04-14 07:00:00,250000,0,failed,0
Technology,2012-07-26 01:16:25,5000,5060,successful,172
Hardware,2014-05-01 17:55:29,20000,74026,successful,405
3D Printing,2014-09-10 17:03:52,25000,118923.5,successful,290
Apps,2015-04-28 18:00:17,1000,35,failed,3
Hardware,2014-05-08 22:09:47,60000,45687.01,failed,108
Gadgets,2015-04-04 02:49:43,7000,0,failed,0
Sound,2014-06-26 01:59:07,2800,545,failed,11
Hardware,2015-10-04 19:06:35,500,0,canceled,0
Technology,2016-10-09 00:22:31,50000,261,failed,5
Technology,2016-10-04 09:58:04,50000,48907,canceled,79
Software,2010-05-08 05:59:00,7000,2002,failed,42
Apps,2015-09-05 22:40:06,55000,0,failed,0
DIY Electronics,2014-12-16 06:59:00,25000,2666,failed,57
Apps,2014-06-11 18:11:46,50000,7697,failed,85
Technology,2014-10-08 20:14:21,20000,15,failed,2
Apps,2016-04-25 18:27:33,36779,6144,canceled,49
Hardware,2014-07-09 17:05:34,150000,7333,failed,20
Fabrication Tools,2016-10-19 01:29:45,3000,4205,successful,84
Technology,2013-12-25 20:01:45,100000,12133,failed,38
Software,2016-10-16 15:23:43,25000,0,failed,0
Hardware,2011-03-06 06:42:17,5000,5843,successful,58
Hardware,2015-06-11 16:26:15,96485,85017,canceled,310
Apps,2014-07-25 20:44:11,4500,4566,successful,47
DIY Electronics,2015-04-02 00:00:00,30000,578478.33,successful,5564
DIY Electronics,2016-10-28 12:31:52,35000,67408,successful,1023
Flight,2015-04-05 20:23:47,285000,0,canceled,0
Technology,2013-12-27 03:30:00,200,0,canceled,0
Hardware,2015-04-08 22:34:07,20000,0,failed,0
Apps,2015-07-20 20:49:05,12000,0,failed,0
Technology,2012-04-08 05:59:00,91000,261,failed,12
3D Printing,2014-11-22 19:54:00,20000,13020,failed,40
Software,2014-12-09 23:50:02,4400,4502,successful,32
Web,2016-01-08 20:47:00,10000,300,canceled,1
Technology,2011-04-07 21:45:14,16500,2072,failed,66
Technology,2013-07-12 18:02:36,7500,400,failed,4
DIY Electronics,2014-07-04 02:57:28,1000,2780,successful,120
Software,2015-09-11 01:45:40,3000,435,failed,21
Space Exploration,2015-08-18 03:48:27,100,135,successful,6
Software,2013-12-05 20:21:09,20000,280,failed,14
Hardware,2015-06-11 19:30:30,500,3801,successful,37
Technology,2014-04-03 04:11:02,1500,2313,successful,60
Hardware,2012-02-03 22:10:53,75000,280,failed,9
Fabrication Tools,2014-08-02 02:00:00,80000,150986,successful,202
Technology,2013-05-25 01:04:58,100000,1892,failed,5
Wearables,2016-04-13 23:23:12,22500,3194,failed,35
Technology,2016-03-09 16:49:36,100000,391,canceled,28
Software,2011-05-05 20:47:13,2500,136,failed,7
Hardware,2012-12-08 02:00:00,15000,39473.14,successful,273
Software,2016-10-12 17:31:45,50000,1,failed,1
Hardware,2012-06-28 08:20:12,25000,65346,successful,81
Apps,2016-11-25 06:00:21,4000,0,failed,0
3D Printing,2015-10-17 07:00:00,36500,2676,failed,12
Web,2015-03-07 02:23:31,50000,0,failed,0
Technology,2015-10-31 18:59:00,250000,75,canceled,2
Apps,2015-04-22 06:04:58,13000,430,failed,8
Apps,2015-04-06 03:38:58,175000,1,canceled,1
Web,2015-08-12 19:02:08,25000,43,failed,2
Web,2016-07-16 19:20:30,4700,0,failed,0
Software,2012-10-21 00:23:28,2500,929.66,failed,27
Hardware,2014-09-29 15:44:00,5000,100,failed,1
Technology,2015-03-06 19:02:49,20000,1439,failed,26
Flight,2015-05-06 18:55:54,200,50,failed,2
Hardware,2013-11-25 14:18:14,1800,11,failed,2
Gadgets,2015-02-08 20:24:44,10000,2276,canceled,24
Apps,2016-07-30 18:38:57,55000,150,failed,2
Gadgets,2014-11-27 06:06:42,20000,95399,successful,3297
Apps,2014-10-26 14:08:57,50000,10,failed,1
Technology,2015-04-09 23:48:00,20000,0,failed,0
Technology,2013-07-07 18:59:00,250000,11818,failed,21
Web,2014-06-10 21:34:52,8000,705,failed,23
Robots,2014-11-15 22:39:36,70000,744,failed,8
Apps,2015-01-21 05:59:00,18000,10,failed,1
Web,2014-08-07 18:43:12,135000,52,failed,6
Technology,2012-05-20 07:36:51,7000,373,failed,7
Technology,2015-09-16 20:27:02,20000,73,failed,3
Apps,2014-10-17 19:46:31,10000,0,failed,0
Technology,2015-06-14 19:57:43,210000,46,failed,6
Hardware,2015-03-30 20:31:59,100000,120249,successful,539
Apps,2014-10-20 06:59:00,25000,216,failed,9
Technology,2014-09-24 12:35:06,47000,0,failed,0
Wearables,2014-07-16 12:36:24,115000,128181.89,successful,658
DIY Electronics,2014-08-03 19:23:48,300,162,failed,5
Gadgets,2015-06-11 23:49:16,100000,5066,failed,34
Technology,2014-12-16 23:43:35,800,0,canceled,0
Web,2014-12-24 16:49:11,12500,0,failed,0
Technology,2015-02-10 08:59:00,50000,22064,canceled,448
Technology,2014-09-27 16:02:18,75000,180,failed,5
Technology,2015-04-12 22:28:48,190000,0,failed,0
Robots,2014-11-23 21:59:13,200000,55165,canceled,368
Apps,2016-05-07 22:17:48,100000,0,failed,0
Web,2015-05-04 22:17:01,25000,0,canceled,0
Wearables,2015-05-04 15:17:30,50000,806,failed,6
3D Printing,2015-09-05 17:32:15,1200,0,canceled,0
3D Printing,2016-03-16 01:24:00,75000,2,failed,2
Robots,2014-11-29 20:32:39,4000,1,failed,1
Software,2015-06-06 21:55:28,250000,0,failed,0
Hardware,2013-05-24 17:14:10,6000,550,failed,2
Technology,2014-05-04 23:00:00,2000,3414,successful,63
Software,2014-08-15 01:53:18,13500,0,failed,0
Apps,2014-12-02 07:59:00,20000,21212,successful,427
Technology,2014-04-30 12:45:00,25000,77474.74,successful,1384
Hardware,2015-02-06 00:21:05,10000,1,failed,1
Technology,2014-04-21 06:00:13,45000,205121.59,successful,4091
Technology,2011-09-19 15:24:59,12500,69404.13,successful,1093
Wearables,2014-07-27 17:27:00,4000,65,failed,5
Makerspaces,2016-03-20 15:04:10,100000,31,failed,4
Apps,2015-04-27 18:59:26,10000,70,failed,4
Web,2014-10-04 04:03:55,20000,0,failed,0
Fabrication Tools,2016-05-24 23:39:28,17000,115,failed,6
Technology,2015-10-01 01:00:00,100000,253,failed,6
Apps,2016-04-27 17:25:14,6000,2,failed,2
Technology,2013-12-12 08:52:16,36500,4736,failed,33
Hardware,2013-03-25 05:08:59,30000,2344134.67,successful,26457
Technology,2016-04-17 18:50:28,150000,158455,successful,1537
Technology,2013-06-02 09:49:33,750000,81060.67,failed,945
Hardware,2016-05-22 10:17:25,10000,6,canceled,2
Wearables,2015-08-27 15:01:16,10000,20848,successful,215
Web,2015-03-30 16:50:56,10000,200,failed,7
Apps,2015-06-06 11:14:47,4500,0,canceled,0
Gadgets,2016-07-02 15:00:14,30000,14085,failed,89
Apps,2015-09-05 23:00:00,25000,500,failed,1
Camera Equipment,2014-06-26 16:03:00,30000,1116,failed,14
Technology,2014-03-10 19:02:26,52700,300,failed,5
Robots,2015-01-16 08:59:00,500,1304,successful,51
Apps,2015-10-10 21:05:57,10000,0,failed,0
Sound,2014-07-03 17:11:37,15000,150,failed,1
Technology,2016-03-13 20:17:29,4000,396,failed,12
